deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeremy S. Liss,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matthew S. Arenson,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,NA,Norton Rose Fulbright US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neel Lemon,Baker Botts LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vicki Odette,"Haynes and Boone, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael DePompei (counsel to Mark A. Sharkey),"Haynes and Boone, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx,David L. Williams,Simpson Thacher & Bartlett LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx,NA,NA,Edward Chung,Simpson Thacher & Bartlett LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bradley Arant Boult Cummings LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx,R. Scott Cohen,Shearman & Sterling LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx,NA,NA,Robert J. Cardone,Shearman & Sterling LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Will Chuchawat,"Sheppard, Mullin, Richter & Hampton LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Dun And Bradstreet Inc and Credibility Corp merger.docx,Creighton O’M. Condon,Shearman & Sterling LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Dun And Bradstreet Inc and Credibility Corp merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alexander B. Temel,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Envestnet Inc and PIEtech Inc merger.docx,Edward S. Best,Mayer Brown LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Envestnet Inc and PIEtech Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew Tucker,Womble Bond Dickinson (US) LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - F5 Networks Inc and Shape Security Inc merger.docx,Mike Ringler,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - F5 Networks Inc and Shape Security Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jen Fitchen,"Sidley Austin, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - F5 Networks Inc and Shape Security Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hank Barry,"Sidley Austin, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,Andrew L. Bab,Debevoise & Plimpton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,NA,NA,NA,Cleary Gottlieb Steen & Hamilton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William M. Shields,Ropes & Gray LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FRX Churchill Holdings Inc and Aptalis Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C. Michael Roh,Ropes & Gray LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,Lyle G. Ganske,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,NA,NA,James P. Dougherty,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frederick H. McGrath,Baker Botts L.L.P.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jonathan Gordon,Baker Botts L.L.P.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - FTD Companies Inc acquisition of stock of Provide Commerce Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx,David C. Buck,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jonathan D. Morris,Morgan Lewis & Bockius LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Independence Contract Drilling Inc and Sidewinder Drilling LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew L. Milano,Morgan Lewis & Bockius LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - KBR Inc acquisition of stock of SGT Inc.docx,Carine Stoick,Hogan Lovells US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - KBR Inc acquisition of stock of SGT Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Craig Chason,Pillsbury Winthrop Shaw Pittman LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Kerry Group PLC acquisition of stock of Fleischmann's Vinegar Company Inc.docx,Donal O'Brien,Bryan Cave Leighton Paisner LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Kerry Group PLC acquisition of stock of Fleischmann's Vinegar Company Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James Ash,Husch Blackwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lehigh Gas Partners LP acquisition of certain assets of Atlas Oil Company.docx,NA,Dennis M. McCarthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lehigh Gas Partners LP acquisition of certain assets of Atlas Oil Company.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - LogMeIn Inc acquisition of stock of Marvasol Inc dba LastPass.docx,Susan Mazur,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - LogMeIn Inc acquisition of stock of Marvasol Inc dba LastPass.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Theodore D. Segal,"Stradley Ronon Stevens & Young, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,David M. Loev,"The Loev Law Firm, PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,NA,NA,John S. Gillies,"The Loev Law Firm, PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christopher H. Moore,"Knobles, Raetzsch, Moore & Eveld, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William L. Knobles,"Knobles, Raetzsch, Moore & Eveld, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Lucas Energy Inc acquisition of certain assets of Segundo Resources LLC an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,or Stephen K. Ganske,"Knobles, Raetzsch, Moore & Eveld, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx,Steven M. Baumer,Bryan Cave LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Vernon Smith,"Orrick, Herrington & Sutcliffe LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - MEMC Electronic Materials Inc acquisition of stock of Fotowatio Renewable .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John Cook,"Orrick, Herrington & Sutcliffe LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Merit Medical Systems Inc and Cianna Medical Inc merger.docx,Bryan T. Allen,"Parr Brown Gee & Loveless, PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Merit Medical Systems Inc and Cianna Medical Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin J. Waters,"Wilson Sonsini Goodrich & Rosati, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Proto Labs Inc acquisition of equity interests of The Rapid Manufacturing .docx,Mark D. Pihlstrom,Faegre Baker Daniels LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Proto Labs Inc acquisition of equity interests of The Rapid Manufacturing .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Greg S. Fine,"Mintz, Levin, Cohn, Ferris, Glovsky and Pope, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx,Christopher R. Manning,"Burke, Warren, MacKay & Serritella, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alan Hambelton,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Saol International Limited acquisition of equity interests of Venus BioThe.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laura Medina,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Systemax Inc acquisition of subsidiary equity interests of TAKKT America H.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Systemax Inc acquisition of subsidiary equity interests of TAKKT America H.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jennifer Clements,Quarles & Brady LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - The Home Depot Inc and Interline Brands Inc merger.docx,Ethan A. Klingsberg,Cleary Gottlieb Steen & Hamilton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - The Home Depot Inc and Interline Brands Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert C. Schwenkel,"Fried, Frank, Harris, Shriver & Jacobson LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - The Home Depot Inc and Interline Brands Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David L. Shaw,"Fried, Frank, Harris, Shriver & Jacobson LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,Chris Baugher,Alston & Bird LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeffrey Seifman,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benjamin P. Clinger,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joseph K. Halloum Orrick,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herrington,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA
002 - Total System Services Inc and Cayan Holdings LLC merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,& Sutcliffe LLP,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA
002 - Universal Corporation acquisition of stock of FruitSmart Inc.docx,John Owen Gwathmey,Troutman Sanders LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Universal Corporation acquisition of stock of FruitSmart Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William Weigand,Davis Wright Tremaine LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Veritex Holdings Inc and Liberty Bancshares Inc merger.docx,Justin M. Long,Norton Rose Fulbright US LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Veritex Holdings Inc and Liberty Bancshares Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mark Haynie,"Haynie Rake Repass & Klimko, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx,Nicholas G. Demmo,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David C. Ingles,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002 - Whitney Bank acquisition of certain assets of First NBC Bank.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fenimore, Kay, Harrison & Ford, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Apollo Group Inc and Carnegie Learning Inc merger.docx,Michael D. Paley,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Apollo Group Inc and Carnegie Learning Inc merger.docx,NA,NA,E. Terry Platis,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Apollo Group Inc and Carnegie Learning Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott E. Westwood,McGuire Woods LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Axos Clearing LLC and COR Securities Holdings Inc merger.docx,Raymond J. Stewart,Thompson Coburn LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Axos Clearing LLC and COR Securities Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matthew M. Guest,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Badger Meter Inc and Racine Federated Inc merger.docx,Timothy P. Reardon,Reinhart Boerner Van Deuren s.c.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Badger Meter Inc and Racine Federated Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Navarre,"Godfrey & Kahn, S.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Bank First Corporation and Tomah Bancshares Inc merger.docx,Robert Fleetwood,Barack Ferrazzano Kirschbaum & Nagelberg LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Bank First Corporation and Tomah Bancshares Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrick Murphy,Godfrey & Kahn S.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Bank of Marin Bancorp and Bank of Napa NA merger.docx,John Stuart,Stuart Moore Staub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Bank of Marin Bancorp and Bank of Napa NA merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Gershon,"Manatt, Phelps & Phillips, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx,Adam M. Turteltaub,Willkie Farr & Gallagher LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn D. West,"Weil, Gotshal & Manges LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Choice Hotels International Inc acquisition of equity interests of WoodSpr.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Lubowitz,"Weil, Gotshal & Manges LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Citizens And Northern Corporation and Covenant Financial Inc merger.docx,Charles J. Ferry,"Stevens & Lee, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - Citizens And Northern Corporation and Covenant Financial Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert A. Schwartz,"Windels Marx Lane & Mittendorf, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - First Acceptance Corporation dba Acceptance Insurance acquisition of certa.docx,David E. Shapiro,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003 - First Acceptance Corporation dba Acceptance Insurance acquisition of certa.docx,NA,NA,Gordon S. Moodie,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
