deal,First,MI,Last,Law_Firm,Type
003 - First Guaranty Bancshares Inc acquisition of stock of and merger with Unio.docx,Craig,N.,Landrum,Jones Walker,Target/Seller
003 - GFI Brokers Holdco Ltd acquisition of subsidiary stock of CME Group Inc.docx,Jeffrey,R.,Poss,Willkie Farr & Gallagher LLP,Buyer
003 - GFI Brokers Holdco Ltd acquisition of subsidiary stock of CME Group Inc.docx,Adam,M.,Turteltaub,Willkie Farr & Gallagher LLP,Buyer
003 - GFI Brokers Holdco Ltd acquisition of subsidiary stock of CME Group Inc.docx,Rodd,M.,Schreiber,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
003 - GFI Brokers Holdco Ltd acquisition of subsidiary stock of CME Group Inc.docx,NA,NA,NA,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
003 - IDEAL Industries Inc acquisition of certain assets and subsidiary equity i.docx,Eric,NA,Orsic,McDermott Will & Emery LLP,Buyer
003 - IDEAL Industries Inc acquisition of certain assets and subsidiary equity i.docx,Gerald,F.,Roach,"Smith, Anderson, Blount, Dorsett, Mitchell & Jernigan, L.L.P.",Target/Seller
003 - Kimball International Inc and Poppin Inc merger.docx,Jason,NA,Zgliniec,Schiff Hardin LLP,Buyer
003 - Kimball International Inc and Poppin Inc merger.docx,Sacha,NA,Ross,Cooley LLP,Target/Seller
003 - Kimball International Inc and Poppin Inc merger.docx,Kevin,NA,Cooper,Cooley LLP,Target/Seller
003 - Marlin Equity Partners acquisition of certain assets of Compuware Corporat.docx,Selim,NA,Day,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
003 - Marlin Equity Partners acquisition of certain assets of Compuware Corporat.docx,Jin-Kyu,NA,Koh,Dykema,Target/Seller
003 - NCI Building Systems Inc and Ply Gem Parent LLC merger.docx,Mark,NA,Gordon,"Wachtell, Lipton, Rosen & Katz",Buyer
003 - NCI Building Systems Inc and Ply Gem Parent LLC merger.docx,Paul,S.,Bird,Debevoise & Plimpton LLP,Target/Seller
003 - NCI Building Systems Inc and Ply Gem Parent LLC merger.docx,Christopher,NA,Anthony,Debevoise & Plimpton LLP,Target/Seller
003 - NCS Multistage Holdings Inc and Spectrum Tracer Services LLC merger.docx,Keith,NA,Fullenweider,Vinson & Elkins L.L.P.,Buyer
003 - NCS Multistage Holdings Inc and Spectrum Tracer Services LLC merger.docx,E.,Andrew,Johnson,"Johnson & Jones, P.C.",Target/Seller
003 - NeoGenomics Inc and Genoptix Inc merger.docx,Clayton,NA,Parker,K&L Gates LLP,Buyer
003 - NeoGenomics Inc and Genoptix Inc merger.docx,Deyan,NA,Spiridonov,Paul Hastings LLP,Target/Seller
003 - Netsmart Technologies Inc acquisition of equity interests of Barista Opera.docx,Brandon,NA,Howald,Paul Hastings LLP,Buyer
003 - Netsmart Technologies Inc acquisition of equity interests of Barista Opera.docx,NA,NA,NA,"Bass, Berry & Sims PLC",Target/Seller
003 - Netsmart Technologies Inc acquisition of equity interests of Barista Opera.docx,Scott,W.,Bell,"Bass, Berry & Sims PLC",Target/Seller
003 - New Residential Investment Corp acquisition of certain assets of PHH Corpo.docx,NA,NA,NA,Not disclosed at signing.,Buyer
003 - New Residential Investment Corp acquisition of certain assets of PHH Corpo.docx,Jonathan,C.,Wishnia,Lowenstein Sandler LLP,Target/Seller
003 - New Ulm Telecom Inc acquisition of stock of Scott-Rice Telephone Co.docx,Thomas,G.,Lovett,"Ballard Spahr, LLP",Buyer
003 - New Ulm Telecom Inc acquisition of stock of Scott-Rice Telephone Co.docx,Michael,R.,Kuhn,"Ballard Spahr, LLP",Buyer
003 - New Ulm Telecom Inc acquisition of stock of Scott-Rice Telephone Co.docx,Mark,NA,Williamson,"Gray, Plant, Mooty, Mooty & Bennett, P.A.",Target/Seller
003 - Nortek Inc acquisition of subsidiary equity interests and certain assets o.docx,Frederick,S.,Green,"Weil, Gotshal & Manges LLP",Buyer
003 - Nortek Inc acquisition of subsidiary equity interests and certain assets o.docx,Sarah,E.,Stasny,"Weil, Gotshal & Manges LLP",Buyer
003 - Nortek Inc acquisition of subsidiary equity interests and certain assets o.docx,Daniel,R.,Mitz,Jones Day,Target/Seller
003 - Nortek Inc acquisition of subsidiary equity interests and certain assets o.docx,David,Y.,Chen,Jones Day,Target/Seller
